,premise,hypothesis,label
0,"ઠીક છે, હું તે વિશે વિચારતો પણ ન હતો, પરંતુ હું ખૂબ હતાશ હતો, અને, મેં તેની સાથે ફરીથી વાત કરવાનું સમાપ્ત કર્યું.",મેં તેની સાથે ફરી વાત કરી નથી.,2
1,"ઠીક છે, હું તે વિશે વિચારતો પણ ન હતો, પરંતુ હું ખૂબ હતાશ હતો, અને, મેં તેની સાથે ફરીથી વાત કરવાનું સમાપ્ત કર્યું.",હું એટલો અસ્વસ્થ હતો કે મેં તેની સાથે ફરીથી વાત કરવાનું શરૂ કર્યું.,0
2,"ઠીક છે, હું તે વિશે વિચારતો પણ ન હતો, પરંતુ હું ખૂબ હતાશ હતો, અને, મેં તેની સાથે ફરીથી વાત કરવાનું સમાપ્ત કર્યું.",અમે એક મહાન વાત કરી હતી.,1
3,"અને મેં વિચાર્યું કે તે એક વિશેષાધિકાર છે, અને તે હજુ પણ છે, તે હજુ પણ છે, હું માત્ર નવ બે-બે એક્સ-ઓ હતો જે મારું AFFC એરફોર્સ કારકિર્દી ક્ષેત્ર હતું.",મને ખબર ન હતી કે તે દિવસે મેદાનમાં હું એકમાત્ર વ્યક્તિ ન હતો.,1
4,"અને મેં વિચાર્યું કે તે એક વિશેષાધિકાર છે, અને તે હજુ પણ છે, તે હજુ પણ છે, હું માત્ર નવ બે-બે એક્સ-ઓ હતો જે મારું AFFC એરફોર્સ કારકિર્દી ક્ષેત્ર હતું.",હું એવી છાપ હેઠળ હતો કે એએફએફસી એરફોર્સ કારકિર્દી ક્ષેત્રે તે નંબર સાથે હું એકમાત્ર હતો.,0
5,"અને મેં વિચાર્યું કે તે એક વિશેષાધિકાર છે, અને તે હજુ પણ છે, તે હજુ પણ છે, હું માત્ર નવ બે-બે એક્સ-ઓ હતો જે મારું AFFC એરફોર્સ કારકિર્દી ક્ષેત્ર હતું.","અમને બધાને એક જ ચોક્કસ નંબર આપવામાં આવ્યો હતો, ભલે અમને ગમે તે વિશેષાધિકારો આપવાનું વચન આપવામાં આવ્યું હોય, તે બધું જૂઠ હતું.",2
6,"તેઓએ મને કહ્યું કે, ઉહ, મને મળવા માટે અંતે મને એક વ્યક્તિમાં બોલાવવામાં આવશે.",મને ક્યારેય કોઈને મળવા વિશે કંઈ કહેવામાં આવ્યું ન હતું.,2
7,"તેઓએ મને કહ્યું કે, ઉહ, મને મળવા માટે અંતે મને એક વ્યક્તિમાં બોલાવવામાં આવશે.",મને કહેવામાં આવ્યું કે મને મળવા માટે એક વ્યક્તિને બોલાવવામાં આવશે.,0
8,"તેઓએ મને કહ્યું કે, ઉહ, મને મળવા માટે અંતે મને એક વ્યક્તિમાં બોલાવવામાં આવશે.",તે વ્યક્તિ થોડો મોડો આવ્યો.,1
9,ત્યાં ઘણું બધું છે જેના વિશે તમે વાત કરી શકો છો કે હું તેને છોડી દઈશ.,હું તમને તેના વિશે જે જાણું છું તે બધું કહેવા માંગુ છું!,2
10,ત્યાં ઘણું બધું છે જેના વિશે તમે વાત કરી શકો છો કે હું તેને છોડી દઈશ.,"હું તે વિશે વાત કરીશ નહીં, તેમ છતાં તેમાં ઘણું બધું આવરી લેવાનું છે.",0
11,ત્યાં ઘણું બધું છે જેના વિશે તમે વાત કરી શકો છો કે હું તેને છોડી દઈશ.,હું શહેરના ઇતિહાસ વિશે વાત નહીં કરું કારણ કે ત્યાં કહેવા માટે ઘણું બધું છે.,1
12,"તે પ્રાથમિક વસ્તુ હતી જેને અમે બચાવવા માગતા હતા કારણ કે 30, C124 પર 20-મેગાટોન એચ-બોમ્બ ફેંકવાનો કોઈ રસ્તો નહોતો.",અમે કંઈપણ સાચવવાની પરવા કરી ન હતી.,2
13,"તે પ્રાથમિક વસ્તુ હતી જેને અમે બચાવવા માગતા હતા કારણ કે 30, C124 પર 20-મેગાટોન એચ-બોમ્બ ફેંકવાનો કોઈ રસ્તો નહોતો.",અમે બાકીના કરતાં એક વસ્તુ વધુ બચાવવા માંગતા હતા.,0
14,"તે પ્રાથમિક વસ્તુ હતી જેને અમે બચાવવા માગતા હતા કારણ કે 30, C124 પર 20-મેગાટોન એચ-બોમ્બ ફેંકવાનો કોઈ રસ્તો નહોતો.",અમે એચ-બોમ્બને બચાવવા માગતા હતા કારણ કે તેની સાથે કામ કરવું ખૂબ મુશ્કેલ હતું.,1
15,તેથી મને ખરેખર શા માટે ખાતરી નથી.,હું શા માટે કારણ તરીકે ચોક્કસ છું.,2
16,તેથી મને ખરેખર શા માટે ખાતરી નથી.,મને ખબર નથી કે તેણે શા માટે શાળાઓ બદલી.,1
17,તેથી મને ખરેખર શા માટે ખાતરી નથી.,મને ખબર નથી કે આવું કેમ થયું.,0
18,"આ ફેની ફ્લોનો છે, અને તે Ag-- Augusta, GA માં મોટી થઈ છે અને તે તેના બાળપણની કેટલીક વાર્તાઓ વિશે વાત કરવા જઈ રહી છે.",ફેની ફ્લોનોને ફરીથી શેડ્યૂલ કરવું પડ્યું અને તે આજે અમને કોઈ વાર્તાઓ કહી શકશે નહીં.,2
19,"આ ફેની ફ્લોનો છે, અને તે Ag-- Augusta, GA માં મોટી થઈ છે અને તે તેના બાળપણની કેટલીક વાર્તાઓ વિશે વાત કરવા જઈ રહી છે.","ફેની ફ્લોનો અહીં છે અને તે ઓગસ્ટા, GAમાં મોટા થયા પછીના બાળપણની વાર્તાઓ વિશે અમારી સાથે વાત કરવા જઈ રહી છે.",0
20,"આ ફેની ફ્લોનો છે, અને તે Ag-- Augusta, GA માં મોટી થઈ છે અને તે તેના બાળપણની કેટલીક વાર્તાઓ વિશે વાત કરવા જઈ રહી છે.",ફેની ફ્લોનો તેના વ્યસ્ત શેડ્યૂલ હોવા છતાં આજે અમારી સાથે વાત કરી શક્યો.,1
21,અને મેં U2 માંથી પાંચ ટુકડીઓ મૂકી હતી.,હું U2 સાથે વ્યવહાર.,0
22,અને મેં U2 માંથી પાંચ ટુકડીઓ મૂકી હતી.,મેં U2 સાથે બિલકુલ વ્યવહાર કર્યો નથી.,2
23,અને મેં U2 માંથી પાંચ ટુકડીઓ મૂકી હતી.,મેં ચાળીસ વર્ષ સુધી દરરોજ U2 ની ટુકડીઓ સાથે કામ કર્યું.,1
24,હું એકલો જ હતો જેણે લઘુચિત્ર ઉંચાઈ ચેમ્બરમાં પરીક્ષણ માટે નિયમનકારોને ક્યારેય ચલાવ્યા હતા.,મને પરીક્ષણો માટે નિયમનકારોને ચલાવવા માટે માત્ર એક જ બનવું ગમતું ન હતું.,1
25,હું એકલો જ હતો જેણે લઘુચિત્ર ઉંચાઈ ચેમ્બરમાં પરીક્ષણ માટે નિયમનકારોને ક્યારેય ચલાવ્યા હતા.,પરીક્ષણો લઘુચિત્ર ઊંચાઈવાળા ચેમ્બરમાં કરવામાં આવ્યા હતા.,0
26,હું એકલો જ હતો જેણે લઘુચિત્ર ઉંચાઈ ચેમ્બરમાં પરીક્ષણ માટે નિયમનકારોને ક્યારેય ચલાવ્યા હતા.,અમારામાંથી કેટલાક એવા હતા જેઓ પરીક્ષણ માટે નિયમનકારોને ચલાવતા હતા.,2
27,"રિકે કહ્યું તેમ હું ચીફ માસ્ટર સાર્જન્ટ, નિવૃત્ત છું.",હું આજે પણ કામ કરી રહ્યો છું.,2
28,"રિકે કહ્યું તેમ હું ચીફ માસ્ટર સાર્જન્ટ, નિવૃત્ત છું.",હું 2002 માં નિવૃત્ત થયો.,1
29,"રિકે કહ્યું તેમ હું ચીફ માસ્ટર સાર્જન્ટ, નિવૃત્ત છું.",રિક તમને કહ્યું કે હું નિવૃત્ત થયો છું.,0
30,"મારા ડેસ્ક પર કેટલાક રોકડ પ્રવાહના અંદાજો છે અને, અમ, ઉહ, તે આવા અને આવા ક્યુટી માટે છે, તે ક્લાયન્ટનું નામ છે.",કટ્ટી નામનો ક્લાયન્ટ મહિને $10000 કમાય છે.,1
31,"મારા ડેસ્ક પર કેટલાક રોકડ પ્રવાહના અંદાજો છે અને, અમ, ઉહ, તે આવા અને આવા ક્યુટી માટે છે, તે ક્લાયન્ટનું નામ છે.",કટ્ટી નામનો એક ક્લાયન્ટ છે.,0
32,"મારા ડેસ્ક પર કેટલાક રોકડ પ્રવાહના અંદાજો છે અને, અમ, ઉહ, તે આવા અને આવા ક્યુટી માટે છે, તે ક્લાયન્ટનું નામ છે.",અમારી પાસે Cutty નામના કોઈ ક્લાયન્ટ નથી.,2
33,જે છોકરી મને મદદ કરી શકે છે તે સમગ્ર શહેરમાં છે.,મને જે છોકરીની મદદની જરૂર છે તે ઘણી દૂર રહે છે.,0
34,જે છોકરી મને મદદ કરી શકે છે તે સમગ્ર શહેરમાં છે.,જે છોકરી મને મદદ કરવા જઈ રહી છે તે 5 માઈલ દૂર છે.,1
35,જે છોકરી મને મદદ કરી શકે છે તે સમગ્ર શહેરમાં છે.,મને મદદ કરનાર કોઈ નથી.,2
36,"પરંતુ તેઓ વિભાજિત હતા જેમ કે ક્ષેત્રના હાથ કોણ હતા અને ઘરના બાળકો કોણ હતા, તે એક પ્રકારનું હતું--",તેઓ બધા સંમત થયા કે તેઓ બધા ખેતરોમાં કામ કરશે.,2
37,"પરંતુ તેઓ વિભાજિત હતા જેમ કે ક્ષેત્રના હાથ કોણ હતા અને ઘરના બાળકો કોણ હતા, તે એક પ્રકારનું હતું--",ખેતરમાં કોણ હતું અને ઘરમાં કોણ હતું તે અંગે તેઓ સહમત ન હતા.,0
38,"પરંતુ તેઓ વિભાજિત હતા જેમ કે ક્ષેત્રના હાથ કોણ હતા અને ઘરના બાળકો કોણ હતા, તે એક પ્રકારનું હતું--",કપાસના ખેતરમાં કોણે કામ કરવું જોઈએ અને કોણે ભોંયતળિયા કાપવા જોઈએ તે તેઓ સહમત નહોતા.,1
39,"આજે તે આપણી સાથે થર્ડ એસએસ, યુ2 ક્વિક અને બ્લેકબર્ડ વિશે વાત કરવા જઈ રહ્યો છે.",તેણે હવે વાત ન કરવાનો નિર્ણય લીધો છે.,2
40,"આજે તે આપણી સાથે થર્ડ એસએસ, યુ2 ક્વિક અને બ્લેકબર્ડ વિશે વાત કરવા જઈ રહ્યો છે.",તે ત્રણ અલગ-અલગ સબમરીન વિશે વાત કરે છે.,1
41,"આજે તે આપણી સાથે થર્ડ એસએસ, યુ2 ક્વિક અને બ્લેકબર્ડ વિશે વાત કરવા જઈ રહ્યો છે.",તે ત્રણ બાબતો વિશે વાત કરે છે.,0
42,"મારો મતલબ કે તેઓને માત્ર પાંચ બાળકો હતા, જેમાંથી એકનું મૃત્યુ થયું હતું.",તેમના તમામ બાળકો બચી ગયા.,2
43,"મારો મતલબ કે તેઓને માત્ર પાંચ બાળકો હતા, જેમાંથી એકનું મૃત્યુ થયું હતું.",પાંચમાંથી એક બાળકનું મોત થયું હતું.,0
